map
	ez_nostalgia
end

values
	2.35016000,235.04670000,11.74961000,42.79781000,71.52007000,10.64030000,0,0,1,0,
	2.36310000,235.04670000,11.74961000,42.79781000,71.60009000,13.84029000,0,0,1,0,
	2.37456200,235.11020000,11.32081000,42.96587000,71.60011000,16.24030000,0,0,1,0,
	2.38380800,235.11020000,11.32081000,42.96587000,71.60009000,18.72029000,0,0,1,0,
	2.39588000,235.18700000,10.88561000,43.12922000,71.60009000,20.72030000,0,0,1,0,
	2.40499300,235.18700000,10.88561000,43.12922000,71.68009000,23.36030000,0,0,1,0,
	2.41200800,235.27710000,10.44401000,43.28658000,71.68009000,25.36029000,0,0,1,0,
	2.42003800,235.27710000,10.44401000,43.28658000,71.76007000,27.04030000,0,0,1,0,
	2.43058600,235.37740000,9.99600700,43.43846000,71.76009000,29.04030000,0,0,1,0,
	2.44283100,235.37740000,9.99600700,43.43846000,71.84008000,31.44029000,0,0,1,0,
	2.45116400,235.49300000,9.54160700,43.58026000,71.92009000,34.80029000,0,0,1,0,
	2.46720800,235.61350000,9.08080700,43.71841000,71.92011000,36.72030000,0,0,1,0,
	2.47779300,235.61350000,9.08080700,43.71841000,71.92010000,40.32031000,0,0,1,0,
	2.48627900,235.74850000,8.61360700,43.84389000,71.92010000,42.72031000,0,0,1,0,
	2.49944100,235.74850000,8.61360700,43.84389000,71.92006000,44.16030000,0,0,1,0,
	2.50798900,235.89180000,8.14000800,43.96075000,71.92009000,46.48030000,0,0,1,0,
	2.51492100,235.89180000,8.14000800,43.96075000,71.84008000,47.92030000,0,0,1,0,
	2.52601600,236.04090000,7.66000800,44.07123000,71.76011000,49.12030000,0,0,1,0,
	2.53721200,236.04090000,7.66000800,44.07123000,71.68008000,50.88029000,0,0,1,0,
	2.54466200,236.04090000,7.66000800,44.07123000,71.60008000,52.56030000,0,0,1,0,
	2.55215500,236.19900000,7.17360900,44.17006000,71.52010000,53.68029000,0,0,1,0,
	2.56356500,236.19900000,7.17360900,44.17006000,71.44009000,54.56030000,0,0,1,0,
	2.57072900,236.36150000,6.68080900,44.26246000,71.28009000,56.08030000,0,0,1,0,
	2.57914800,236.36150000,6.68080900,44.26246000,71.20007000,56.96030000,0,0,1,0,
