map
	ez_nostalgia
end

values
	1.35220800,15.11390000,8.26480100,350.40680000,43.50002000,23.32500000,0,0,0,1,
	1.35874100,15.11390000,8.26480100,350.40680000,43.65003000,22.57500000,0,0,0,1,
	1.36462300,15.11390000,8.26480100,350.40680000,43.80003000,21.97500000,0,0,0,1,
	1.36932300,15.15885000,8.17060100,350.55940000,43.87502000,21.45000000,0,0,0,1,
	1.37625500,15.15885000,8.17060100,350.55940000,43.95003000,21.15000000,0,0,0,1,
	1.38229300,15.15885000,8.17060100,350.55940000,44.10003000,20.55000000,0,0,0,1,
	1.38777500,15.20010000,8.07000100,350.71350000,44.17503000,20.02500000,0,0,0,1,
	1.39535200,15.20010000,8.07000100,350.71350000,44.25003000,19.57500000,0,0,0,1,
	1.40091000,15.20010000,8.07000100,350.71350000,44.47504000,18.82500000,0,0,0,1,
	1.40756300,15.23721000,7.96300100,350.86900000,44.55003000,18.45000000,0,0,0,1,
	1.41439600,15.23721000,7.96300100,350.86900000,44.62503000,17.92500000,0,0,0,1,
	1.42058700,15.23721000,7.96300100,350.86900000,44.77503000,17.25000000,0,0,0,1,
	1.42595100,15.23721000,7.96300100,350.86900000,44.92503000,16.80000000,0,0,0,1,
	1.43005700,15.26894000,7.84960100,351.02610000,45.00003000,16.42500000,0,0,0,1,
	1.43596300,15.26894000,7.84960100,351.02610000,45.07503000,15.97500000,0,0,0,1,
	1.44288000,15.26894000,7.84960100,351.02610000,45.22504000,15.52500000,0,0,0,1,
	1.44940400,15.29663000,7.72980100,351.18440000,45.37503000,14.92500000,0,0,0,1,
	1.45551600,15.29663000,7.72980100,351.18440000,45.52504000,14.40000000,0,0,0,1,
	1.46171100,15.29663000,7.72980100,351.18440000,45.67504000,13.87500000,0,0,0,1,
	1.46750700,15.32025000,7.60360100,351.34370000,45.75004000,13.42500000,0,0,0,1,
	1.47343300,15.32025000,7.60360100,351.34370000,45.90005000,13.05000000,0,0,0,1,
	1.47846000,15.32025000,7.60360100,351.34370000,45.97504000,12.60000000,0,0,0,1,
	1.48396000,15.32025000,7.60360100,351.34370000,46.12505000,12.15000000,0,0,0,1,
	1.48937800,15.33956000,7.47100100,351.50390000,46.20004000,11.85000000,0,0,0,1,
	1.49691700,15.33956000,7.47100100,351.50390000,46.27505000,11.47500000,0,0,0,1,
	1.50092700,15.33956000,7.47100100,351.50390000,46.42505000,10.95000000,0,0,0,1,
	1.50617300,15.33956000,7.47100100,351.50390000,46.50005000,10.65000000,0,0,0,1,
	1.51189900,15.35474000,7.33200100,351.66490000,46.57504000,10.35000000,0,0,0,1,
	1.51862100,15.35474000,7.33200100,351.66490000,46.65005000,9.97500100,0,0,0,1,
	1.53046800,15.36762000,7.18660100,351.82630000,46.80005000,9.52500100,0,0,0,1,
	1.53915600,15.36762000,7.18660100,351.82630000,46.95005000,8.84999900,0,0,0,1,
	1.54682600,15.36762000,7.18660100,351.82630000,47.10005000,8.40000100,0,0,0,1,
	1.55395500,15.37612000,7.03480100,351.98830000,47.17506000,7.95000000,0,0,0,1,
	1.55978300,15.37612000,7.03480100,351.98830000,47.32505000,7.50000100,0,0,0,1,
	1.56750100,15.38230000,6.87660000,352.15070000,47.40006000,7.12500100,0,0,0,1,
	1.57451800,15.38230000,6.87660000,352.15070000,47.55006000,6.60000100,0,0,0,1,
	1.57998400,15.38230000,6.87660000,352.15070000,47.62506000,6.15000100,0,0,0,1,
	1.58759000,15.38469000,6.71200000,352.31350000,47.70006000,5.77500200,0,0,0,1,
	1.59357200,15.38469000,6.71200000,352.31350000,47.77507000,5.17500100,0,0,0,1,
	1.60188100,15.38469000,6.71200000,352.31350000,47.85006000,4.72500100,0,0,0,1,
	1.60836700,15.38242000,6.54100000,352.47660000,47.92506000,4.12500100,0,0,0,1,
	1.61670500,15.38242000,6.54100000,352.47660000,48.07506000,3.52500100,0,0,0,1,
	1.62239700,15.38242000,6.54100000,352.47660000,48.15007000,2.85000200,0,0,0,1,
	1.62689600,15.37526000,6.36360000,352.64000000,48.22507000,2.40000200,0,0,0,1,
	1.63436400,15.37526000,6.36360000,352.64000000,48.22507000,2.10000100,0,0,0,1,
	1.63832800,15.37526000,6.36360000,352.64000000,48.30006000,1.57500200,0,0,0,1,
	1.64456500,15.37526000,6.36360000,352.64000000,48.37507000,1.12500200,0,0,0,1,
	1.65192700,15.36318000,6.17980000,352.80350000,48.45007000,0.67500150,0,0,0,1,
	1.65868900,15.36318000,6.17980000,352.80350000,48.52507000,0.15000150,0,0,0,1,
	1.66406300,15.36318000,6.17980000,352.80350000,48.60007000,359.62500000,0,0,0,1,
	1.66919000,15.34726000,5.98960000,352.96700000,48.67507000,359.32500000,0,0,0,1,
	1.67480300,15.34726000,5.98960000,352.96700000,48.75007000,358.87500000,0,0,0,1,
	1.68043000,15.34726000,5.98960000,352.96700000,48.82507000,358.42500000,0,0,0,1,
