map
	ez_athletic
end

values
	1.55961800,-21.15111000,-3.10976000,55.26317000,32.17529000,20.40229000,0,0,1,0,
	1.56417000,-21.06542000,-3.07596000,55.44511000,32.17530000,21.22726000,0,0,1,0,
	1.57133500,-21.06542000,-3.07596000,55.44511000,32.17529000,22.27726000,0,0,1,0,
	1.57608600,-21.06542000,-3.07596000,55.44511000,32.17529000,23.47729000,0,0,1,0,
	1.58116700,-21.06542000,-3.07596000,55.44511000,32.17530000,24.45226000,0,0,1,0,
	1.58512500,-20.96601000,-3.04856000,55.62097000,32.17529000,25.50225000,0,0,1,0,
	1.58995700,-20.96601000,-3.04856000,55.62097000,32.17529000,26.32729000,0,0,1,0,
	1.59416100,-20.96601000,-3.04856000,55.62097000,32.17529000,27.22729000,0,0,1,0,
	1.60157000,-20.96601000,-3.04856000,55.62097000,32.17529000,27.97729000,0,0,1,0,
	1.60587200,-20.85493000,-3.02756000,55.79066000,32.17529000,29.25230000,0,0,1,0,
	1.61103000,-20.85493000,-3.02756000,55.79066000,32.17529000,30.15236000,0,0,1,0,
	1.61717400,-20.85493000,-3.02756000,55.79066000,32.17529000,31.05236000,0,0,1,0,
	1.62249700,-20.85493000,-3.02756000,55.79066000,32.17529000,32.10235000,0,0,1,0,
