map
	ez_horizon
end

values
	1.19483300,-0.04549791,1.82460000,8.64412000,32.32500000,17.25000000,0,0,0,1,
	1.20025400,-0.01314896,1.78800000,8.80042300,32.40000000,16.87500000,0,0,0,1,
	1.20539400,-0.01314896,1.78800000,8.80042300,32.55000000,16.12501000,0,0,0,1,
	1.20995500,-0.01314896,1.78800000,8.80042300,32.70000000,15.30000000,0,0,0,1,
	1.21592500,0.01397607,1.74500000,8.95816500,32.77501000,14.77500000,0,0,0,1,
	1.22192500,0.01397607,1.74500000,8.95816500,32.92501000,13.80000000,0,0,0,1,
	1.22689500,0.01397607,1.74500000,8.95816500,33.07501000,12.75000000,0,0,0,1,
	1.23303800,0.01397607,1.74500000,8.95816500,33.22501000,11.77500000,0,0,0,1,
	1.23837000,0.02964395,1.69560000,9.11837300,33.37501000,10.57500000,0,0,0,1,
	1.24394100,0.02964395,1.69560000,9.11837300,33.52501000,9.52500400,0,0,0,1,
	1.24795300,0.02964395,1.69560000,9.11837300,33.67502000,8.25000500,0,0,0,1,
	1.25367800,0.02964395,1.69560000,9.11837300,33.75002000,7.42500500,0,0,0,1,
	1.26361200,0.03279657,1.63980000,9.28028200,33.90002000,6.07500400,0,0,0,1,
	1.27009300,0.03279657,1.63980000,9.28028200,34.05002000,4.20000400,0,0,0,1,
	1.27564900,0.02580768,1.57760000,9.44278900,34.12502000,2.47500400,0,0,0,1,
	1.28299700,0.02580768,1.57760000,9.44278900,34.27502000,1.27500400,0,0,0,1,
	1.28886500,0.02580768,1.57760000,9.44278900,34.27502000,359.85000000,0,0,0,1,
	1.29525800,0.00840060,1.50900000,9.60529900,34.35002000,358.80000000,0,0,0,1,
	1.30339600,0.00840060,1.50900000,9.60529900,34.42502000,357.60000000,0,0,0,1,
	1.31018000,0.00840060,1.50900000,9.60529900,34.42502000,356.32500000,0,0,0,1,
	1.31584700,-0.01860150,1.43400000,9.76722800,34.50003000,355.42500000,0,0,0,1,
	1.32495600,-0.01860150,1.43400000,9.76722800,34.50002000,354.82500000,0,0,0,0,
