map
	ez_nostalgia
end

values
	1.49617900,3.45588200,1.69560000,321.94120000,22.20000000,262.57470000,0,0,0,1,
	1.50419600,3.45588200,1.69560000,321.94120000,22.20000000,261.67470000,0,0,0,1,
	1.50970800,3.45588200,1.69560000,321.94120000,22.27501000,260.54970000,0,0,0,1,
	1.51755700,3.29647800,1.63980000,321.89790000,22.35001000,259.64970000,0,0,0,1,
	1.52352200,3.29647800,1.63980000,321.89790000,22.35001000,258.67470000,0,0,0,1,
	1.53106800,3.29647800,1.63980000,321.89790000,22.42501000,257.77470000,0,0,0,1,
	1.53711000,3.13876200,1.57760000,321.84670000,22.42501000,256.87480000,0,0,0,1,
	1.54296800,3.13876200,1.57760000,321.84670000,22.42500000,256.04970000,0,0,0,1,
	1.54958600,3.13876200,1.57760000,321.84670000,22.42501000,255.29970000,0,0,0,1,
	1.55535200,2.98268700,1.50900000,321.78930000,22.50001000,254.62470000,0,0,0,1,
	1.56427100,2.98268700,1.50900000,321.78930000,22.50001000,254.02470000,0,0,0,1,
	1.57012500,2.98268700,1.50900000,321.78930000,22.50001000,253.27470000,0,0,0,1,
	1.57559300,2.82816600,1.43400000,321.72660000,22.57501000,252.74970000,0,0,0,1,
	1.58106000,2.82816600,1.43400000,321.72660000,22.57501000,252.37480000,0,0,0,1,
	1.58622700,2.82816600,1.43400000,321.72660000,22.57501000,252.07470000,0,0,0,1,
	1.59116900,2.82816600,1.43400000,321.72660000,22.57501000,251.92470000,0,0,0,1,
	1.59615000,2.67451400,1.35260000,321.66130000,22.57501000,251.77480000,0,0,0,1,
	1.60032300,2.67451400,1.35260000,321.66130000,22.57501000,251.69970000,0,0,0,1,
	1.60408500,2.67451400,1.35260000,321.66130000,22.57501000,251.69970000,0,0,0,1,
	1.60758600,2.67451400,1.35260000,321.66130000,22.57501000,251.69970000,0,0,0,1,
	1.61201600,2.67451400,1.35260000,321.66130000,22.57501000,251.69970000,0,0,0,1,
	1.61537800,2.52093000,1.26480000,321.59570000,22.57501000,251.69970000,0,0,0,1,
