map
	ez_flyer
end

values
	0.98322590,-0.42047820,0.90000000,-80.34677000,28.80000000,350.45000000,1,0,0,1,
	0.98884640,-0.42047820,0.90000000,-80.34677000,29.10000000,350.30000000,1,0,0,1,
	0.99573950,-0.42047820,0.90000000,-80.34677000,29.35000000,350.20000000,1,0,0,1,
	1.00563800,-0.47825030,0.89999990,-80.19598000,29.60000000,350.10000000,1,0,0,1,
	1.04589100,-0.60670700,0.89360000,-79.89490000,30.05000000,349.85000000,1,0,0,1,
	1.08427600,-0.73516370,0.86160000,-79.94768000,31.80000000,348.75000000,1,0,0,1,
	1.10325900,-0.70703270,0.83600000,-79.94944000,33.70000000,347.10000000,1,0,0,1,
	1.11278200,-0.70703270,0.83600000,-79.94944000,34.79999000,345.80000000,1,0,0,1,
	1.11969100,-0.70140650,0.80400000,-79.94979000,35.35000000,345.15000000,1,0,0,1,
	1.12688100,-0.70140650,0.80400000,-79.94979000,35.79999000,344.60000000,1,0,0,1,
	1.13346000,-0.70140650,0.80400000,-79.94979000,36.15000000,344.15000000,1,0,0,1,
	1.13966400,-0.70028130,0.76560000,-79.94986000,36.55000000,343.70000000,1,0,0,1,
	1.15087600,-0.70028130,0.76560000,-79.94986000,36.95000000,343.25000000,1,0,0,1,
	1.15993600,-0.70005610,0.72080000,-79.94987000,37.60000000,342.55000000,1,0,0,1,
	1.17092200,-0.70005610,0.72080000,-79.94987000,38.10000000,342.05000000,1,0,0,1,
	1.17843000,-0.70001120,0.66960000,-79.94987000,38.80000000,341.35000000,1,0,0,1,
	1.18446500,-0.70001120,0.66960000,-79.94987000,39.25000000,340.95000000,1,0,0,1,
	1.19034300,-0.70001120,0.66960000,-79.94987000,39.60000000,340.65000000,1,0,0,1,
	1.19665100,-0.70001120,0.66960000,-79.94987000,39.95000000,340.35000000,1,0,0,1,
	1.20426200,-0.70000210,0.61200000,-79.94987000,40.30000000,340.10000000,1,0,0,1,
	1.21131300,-0.70000210,0.61200000,-79.94987000,40.75000000,339.75000000,1,0,0,1,
	1.21859600,-0.70000030,0.54800000,-79.94987000,41.15001000,339.45000000,1,0,0,1,
	1.22588100,-0.70000030,0.54800000,-79.94987000,41.55000000,339.20000000,1,0,0,1,
	1.23296900,-0.70000030,0.54800000,-79.94987000,41.95000000,338.85000000,1,0,0,1,
	1.23920200,-0.70000000,0.47760000,-79.94987000,42.40000000,338.60000000,1,0,0,1,
	1.24632700,-0.70000000,0.47760000,-79.94987000,42.75001000,338.30000000,1,0,0,1,
	1.25172100,-0.70000000,0.47760000,-79.94987000,43.15000000,338.00000000,1,0,0,1,
	1.25616300,-0.70000000,0.47760000,-79.94987000,43.45000000,337.75000000,1,0,0,1,
	1.26148600,-0.69999990,0.40080000,-79.94987000,43.70000000,337.60000000,1,0,0,1,
	1.26776300,-0.69999990,0.40080000,-79.94987000,44.00000000,337.35000000,1,0,0,1,
	1.27397700,-0.69999990,0.40080000,-79.94987000,44.35001000,337.05000000,1,0,0,1,
	1.28125800,-0.70000000,0.31760000,-79.94987000,44.70000000,336.85000000,1,0,0,1,
	1.28761900,-0.70000000,0.31760000,-79.94987000,45.10000000,336.50000000,1,0,0,1,
	1.29376400,-0.70000000,0.31760000,-79.94987000,45.35000000,336.30000000,1,0,0,1,
	1.29927100,-0.69999990,0.22800000,-79.94987000,45.75000000,336.00000000,1,0,0,1,
	1.30414600,-0.69999990,0.22800000,-79.94987000,46.10000000,335.70000000,1,0,0,1,
	1.30981100,-0.69999990,0.22800000,-79.94987000,46.35000000,335.50000000,1,0,0,1,
	1.31549200,-0.69999990,0.22800000,-79.94987000,46.70000000,335.25000000,1,0,0,1,
	1.32062100,-0.70000000,0.13200000,-79.94987000,46.95000000,335.00000000,1,0,0,1,
	1.32612400,-0.70000000,0.13200000,-79.94987000,47.24999000,334.80000000,1,0,0,1,
	1.33134400,-0.70000000,0.13200000,-79.94987000,47.60000000,334.50000000,1,0,0,1,
	1.33754700,-0.69999990,0.02960003,-79.94987000,47.90000000,334.25000000,1,0,0,1,
	1.34442900,-0.69999990,0.02960003,-79.94987000,48.30000000,333.95000000,1,0,0,1,
	1.34965100,-0.69999990,0.02960003,-79.94987000,48.65000000,333.60000000,1,0,0,1,
	1.35844300,-0.70000000,-0.07919998,-79.94987000,49.05000000,333.30000000,0,0,0,1,
	1.36689600,-0.70000000,-0.07919998,-79.94987000,49.55000000,332.85000000,0,0,0,1,
	1.37255600,-0.70000000,-0.07919998,-79.94987000,50.10000000,332.35000000,0,0,0,1,
	1.37857600,-0.69999990,-0.19440000,-79.95626000,50.50000000,332.00000000,0,0,0,1,
	1.38512200,-0.69999990,-0.19440000,-79.95626000,50.85001000,331.60000000,0,0,0,1,
	1.39042400,-0.69999990,-0.19440000,-79.95626000,51.35000000,331.15000000,0,0,0,1,
	1.39504400,-0.69999990,-0.19440000,-79.95626000,51.75000000,330.80000000,0,0,0,1,
	1.40054000,-0.70000000,-0.31600000,-79.96786000,52.05000000,330.45000000,0,0,0,1,
	1.40690600,-0.70000000,-0.31600000,-79.96786000,52.39999000,330.15000000,0,0,0,1,
	1.41234900,-0.70000000,-0.31600000,-79.96786000,52.90000000,329.60000000,0,0,0,1,
	1.41731100,-0.70000000,-0.31600000,-79.96786000,53.25000000,329.30000000,0,0,0,1,
	1.42222800,-0.69999990,-0.44400000,-79.98356000,53.64999000,328.90000000,0,0,0,1,
	1.42827400,-0.69999990,-0.44400000,-79.98356000,53.95000000,328.60000000,0,0,0,1,
	1.43544800,-0.69999990,-0.44400000,-79.98356000,54.35000000,328.15000000,0,0,0,1,
	1.44089700,-0.70000000,-0.57840000,-80.00229000,54.84999000,327.70000000,0,0,0,1,
	1.44694900,-0.70000000,-0.57840000,-80.00229000,55.25000000,327.25000000,0,0,0,1,
	1.45276900,-0.70000000,-0.57840000,-80.00229000,55.65000000,326.80000000,0,0,0,1,
	1.45681600,-0.70000000,-0.57840000,-80.00229000,55.95000000,326.45000000,0,0,0,1,
	1.46226600,-0.69999990,-0.71920000,-80.02311000,56.25000000,326.05000000,0,0,0,1,
	1.46826600,-0.69999990,-0.71920000,-80.02311000,56.60000000,325.70000000,0,0,0,1,
	1.47339000,-0.69999990,-0.71920000,-80.02311000,56.95000000,325.30000000,0,0,0,1,
	1.47843100,-0.70000000,-0.86640000,-80.04521000,57.24999000,324.85000000,0,0,0,1,
	1.48638800,-0.70000000,-0.86640000,-80.04521000,57.59999000,324.45000000,0,0,0,1,
	1.49378700,-0.70000000,-0.86640000,-80.04521000,58.10000000,323.75000000,0,0,0,1,
	1.49895500,-0.69999990,-1.02000000,-80.04914000,58.60000000,322.95000000,0,0,0,1,
	1.50474400,-0.69999990,-1.02000000,-80.04914000,58.90000000,322.40000000,0,0,0,1,
	1.51129100,-0.69999990,-1.02000000,-80.04914000,59.14999000,321.90000000,0,0,0,1,
	1.51675300,-0.69999990,-1.02000000,-80.04914000,59.34999000,321.35000000,0,0,0,1,
	1.51989700,-0.70000000,-1.18000000,-80.04993000,59.35000000,321.20000000,0,0,0,1,
	1.52479200,-0.70000000,-1.18000000,-80.04993000,59.35000000,321.20000000,0,0,0,1,
	1.52836800,-0.70000000,-1.18000000,-80.04993000,59.35000000,321.20000000,0,0,0,1,
	1.53206800,-0.70000000,-1.18000000,-80.04993000,59.35000000,321.20000000,0,0,0,1,
	1.53533200,-0.70000000,-1.18000000,-80.04993000,59.35000000,321.20000000,0,0,0,1,
	1.53929000,-0.69999990,-1.34640000,-80.05009000,59.35000000,321.20000000,0,0,0,1,
	1.54396200,-0.69999990,-1.34640000,-80.05009000,59.35000000,321.20000000,0,0,0,1,
	1.54689600,-0.69999990,-1.34640000,-80.05009000,59.35000000,321.20000000,0,0,0,1,
	1.55063900,-0.69999990,-1.34640000,-80.05009000,59.35000000,321.20000000,0,0,0,1,
	1.55401700,-0.69999990,-1.34640000,-80.05009000,59.35000000,321.20000000,0,0,0,1,
	1.55811300,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.56190300,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.56590600,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.56889200,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.57332100,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.57649800,-0.70000000,-1.51920000,-80.05012000,59.35000000,321.20000000,0,0,0,1,
	1.58118800,-0.69999990,-1.69840000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.58657300,-0.69999990,-1.69840000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.59125500,-0.69999990,-1.69840000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.59533900,-0.69999990,-1.69840000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.59916600,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.60285400,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.60662700,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.60974000,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.61332400,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.61619400,-0.70000000,-1.88400000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.61969900,-0.69999990,-2.07600000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.62363500,-0.69999990,-2.07600000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.62780400,-0.69999990,-2.07600000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.63081100,-0.69999990,-2.07600000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.63701700,-0.69999990,-2.07600000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.64399100,-0.70000000,-2.27440000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.64861400,-0.70000000,-2.27440000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.65166000,-0.70000000,-2.27440000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.65559400,-0.70000000,-2.27440000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.65841200,-0.69999990,-2.47920000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.66349800,-0.69999990,-2.47920000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.66657900,-0.69999990,-2.47920000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.67117000,-0.69999990,-2.47920000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.67444500,-0.69999990,-2.47920000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.67782700,-0.70000000,-2.69040000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.68226200,-0.70000000,-2.69040000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.68618100,-0.70000000,-2.69040000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.69165200,-0.70000000,-2.69040000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.69539600,-0.70000000,-2.69040000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
	1.69950900,-0.69999990,-2.90800000,-80.05013000,59.35000000,321.20000000,0,0,0,1,
