map
	ez_training
end

values
	0.77260190,8.04364300,0.90000000,10.00138000,21.24999000,180.80020000,1,0,0,0,
	0.77703940,8.04364300,0.90000000,10.00138000,21.24999000,180.80020000,1,0,0,0,
	0.78115300,8.04364300,0.90000000,10.00138000,21.24999000,180.80020000,1,0,0,0,
	0.78547010,8.04106400,0.90000000,9.84739800,21.24999000,180.80020000,1,0,0,0,
	0.78981140,8.04106400,0.90000000,9.84739800,21.24999000,180.80020000,1,0,0,0,
	0.79313560,8.04106400,0.90000000,9.84739800,21.24999000,180.80020000,1,0,0,0,
	0.79622880,8.04106400,0.90000000,9.84739800,21.24999000,180.80020000,1,0,0,0,
	0.80118390,8.04106400,0.90000000,9.84739800,21.24999000,180.80020000,1,0,0,0,
	0.80477670,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.80857250,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.81201430,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.81544610,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.82036470,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.82399550,8.03852400,0.90000000,9.69341900,21.24999000,180.80020000,1,0,0,0,
	0.82726850,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.83203260,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.83478030,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.83833040,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.84136710,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.84382840,8.03602100,0.90000000,9.53943800,21.24999000,180.80020000,1,0,0,0,
	0.84773700,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
	0.85182600,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
	0.85445700,8.03354900,0.90000000,9.38545800,21.24999000,180.80020000,1,0,0,0,
