map
	ez_square
end

values
	1.13888300,55.13826000,2.69560000,5.66744000,31.42502000,336.22500000,0,0,0,1,
	1.14413600,55.13826000,2.69560000,5.66744000,31.42502000,335.32500000,0,0,0,1,
	1.14990500,55.13826000,2.69560000,5.66744000,31.42502000,334.35000000,0,0,0,1,
	1.15606700,55.05186000,2.63980000,5.80807600,31.42502000,333.30000000,0,0,0,1,
	1.16104900,55.05186000,2.63980000,5.80807600,31.42502000,332.02500000,0,0,0,1,
	1.16584000,55.05186000,2.63980000,5.80807600,31.42502000,330.97500000,0,0,0,1,
	1.16971700,55.05186000,2.63980000,5.80807600,31.42502000,330.00000000,0,0,0,1,
	1.17384400,55.05186000,2.63980000,5.80807600,31.42502000,329.17500000,0,0,0,1,
	1.17898400,54.95308000,2.57760000,5.94165400,31.42502000,328.35000000,0,0,0,1,
	1.18413300,54.95308000,2.57760000,5.94165400,31.42502000,327.37500000,0,0,0,1,
	1.18904000,54.95308000,2.57760000,5.94165400,31.42502000,326.32500000,0,0,0,1,
	1.19481700,54.95308000,2.57760000,5.94165400,31.42502000,325.42500000,0,0,0,1,
	1.19894600,54.84441000,2.50900000,6.06851000,31.42502000,324.22500000,0,0,0,1,
	1.20372000,54.84441000,2.50900000,6.06851000,31.50003000,323.55000000,0,0,0,1,
	1.20793500,54.84441000,2.50900000,6.06851000,31.50002000,322.65000000,0,0,0,1,
	1.21187700,54.84441000,2.50900000,6.06851000,31.50003000,321.82500000,0,0,0,1,
	1.21710700,54.72867000,2.43400000,6.18989100,31.50003000,321.15000000,0,0,0,1,
	1.22209900,54.72867000,2.43400000,6.18989100,31.50002000,320.32500000,0,0,0,1,
	1.22676200,54.72867000,2.43400000,6.18989100,31.50003000,319.50000000,0,0,0,1,
	1.23293100,54.72867000,2.43400000,6.18989100,31.50003000,318.52500000,0,0,0,1,
	1.24068100,54.60499000,2.35260000,6.30435300,31.50003000,317.55000000,0,0,0,1,
	1.24521900,54.60499000,2.35260000,6.30435300,31.50002000,316.35000000,0,0,0,1,
	1.24973000,54.60499000,2.35260000,6.30435300,31.50003000,315.60000000,0,0,0,1,
	1.25413900,54.60499000,2.35260000,6.30435300,31.50002000,314.77500000,0,0,0,1,
	1.25911600,54.47441000,2.26480000,6.41201500,31.50003000,314.25000000,0,0,0,1,
	1.26373600,54.47441000,2.26480000,6.41201500,31.50003000,313.50000000,0,0,0,1,
	1.26772300,54.47441000,2.26480000,6.41201500,31.50003000,312.52500000,0,0,0,1,
	1.27277900,54.47441000,2.26480000,6.41201500,31.50003000,311.92500000,0,0,0,1,
	1.27666200,54.33772000,2.17060000,6.51297100,31.50002000,311.17500000,0,0,0,1,
	1.28091000,54.33772000,2.17060000,6.51297100,31.50003000,310.50000000,0,0,0,1,
	1.28467800,54.33772000,2.17060000,6.51297100,31.50003000,309.82500000,0,0,0,1,
	1.28878600,54.33772000,2.17060000,6.51297100,31.50003000,309.22500000,0,0,0,1,
	1.29257100,54.33772000,2.17060000,6.51297100,31.50003000,308.55000000,0,0,0,1,
	1.29644900,54.19513000,2.07000000,6.60670600,31.50003000,308.02500000,0,0,0,1,
	1.30063000,54.19513000,2.07000000,6.60670600,31.50003000,307.42500000,0,0,0,1,
	1.31096700,54.19513000,2.07000000,6.60670600,31.50003000,306.75000000,0,0,0,1,
	1.32097600,54.04768000,1.96300000,6.69377300,31.50003000,305.25000000,0,0,0,1,
